id,shap_B11,shap_B12,shap_B2,shap_B3,shap_B4,shap_B5,shap_B6,shap_B8,shap_BSI,shap_BSI_Mean,shap_Clay_Ratio,shap_Iron_Ratio,shap_MNDWI,shap_MNDWI_Variance,shap_NDTI,shap_NDVI,shap_NDVI_Entropy,shap_NDVI_Variance,shap_NDWI,shap_dist_to_road_km
1,0.31237495,-0.094857976,-0.40709767,-1.4486841,-0.035549838,-0.21780235,0.41200712,0.12144993,0.17156282,0.06904596,0.78492576,0.24741624,0.23541322,0.0051743016,0.25299084,0.36024004,-0.15833516,0.20028697,0.06219711,-0.05971681
2,0.32652053,-0.0861319,-0.4211642,-1.4266163,-0.03862073,-0.20626622,0.40519083,0.13824666,0.08231497,0.06108813,0.78109026,0.04630267,0.13911985,-0.0043470613,0.24286838,0.426799,-0.15048161,0.19035727,0.09829496,-0.049901057
3,0.32421866,-0.063658014,-0.40197775,-1.4830438,-0.032362666,-0.23190668,0.40495247,0.12235774,0.037141267,-0.0047576,0.50566643,0.24386546,0.22316086,0.009215664,0.11893539,0.41500658,-0.15744835,0.20405681,0.06635135,-0.064308316
4,0.28986433,-0.1000798,-0.40007755,-1.435902,-0.028902786,-0.23416531,0.39403483,0.11857974,0.21907729,-0.011083128,0.7966977,0.25053516,0.07169256,0.01694179,0.25131628,0.31213713,-0.13955995,0.21618292,0.10678743,-0.1435714
5,0.24976993,-0.106740534,-0.42099568,-1.4639176,-0.050647143,-0.2341851,0.3869569,0.10911871,0.26072165,0.053451948,0.7964371,0.29530284,0.08784405,0.027080623,0.24894114,0.51005214,-0.13921298,0.20933434,0.10638353,0.75575197
6,0.2839902,-0.09787138,-0.42094478,-1.4642979,-0.050388616,-0.21254313,0.40136072,0.11879748,0.16164714,0.07004148,0.78275245,0.24355902,0.24342917,0.010144837,0.25601888,0.33773988,-0.1580685,0.19800048,0.0791389,0.7903259
7,0.28302655,-0.08961175,-0.42094478,-1.4636911,-0.050388616,-0.22673914,0.40136072,0.119705275,0.11832451,-0.044469975,0.7837045,0.2530131,0.24014327,0.010144837,0.24762289,0.4239608,-0.15609121,0.20355935,0.05402368,0.7827091
8,0.2537114,-0.106740534,-0.40155074,-1.4640335,-0.050647143,-0.22892585,0.40093938,0.1153928,0.2699724,-0.05476048,0.78944355,0.23775987,0.10573232,0.011112303,0.24277936,0.5237442,-0.14583339,0.20112577,0.11202402,0.6958477
9,0.30853885,-0.035438467,-0.32083365,-1.4032723,0.010134894,-0.23684946,0.40419203,0.16202419,0.013855629,-0.013583882,0.14975332,0.20648292,-0.09603567,0.088863894,0.023296805,-1.0849527,-0.14035445,0.2821669,0.065823056,-0.26476905
10,0.29411447,-0.022366315,-0.31275478,-1.3956882,0.013330052,-0.23472387,0.39457774,0.1686152,-0.031292643,0.0013562497,0.13884991,0.2041682,-0.09603567,0.084232345,0.024135122,-0.9430964,-0.14035445,0.2821669,-0.1472942,-0.28207898
